freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,PNP,PT	45.21 b	52.29 	51.07 	51.19 	50.41 	50.66 	50.49 	49.3 	50.58 	49.83 	52.38 	52.32 
A,PC_HC,PNP,RO	39.5 	40 	48.13 	46.89 	30.88 	36.16 	39.11 	45.02 	48.26 	47.26 	48.9 	: 
A,PC_HC,PNP,RS	50 	57.14 	57.14 	75 	50 	100 	100 	100 	75 	100 	100 	50 
A,PC_HC,PNP,RU	43.62 e	38.03 e	42.31 	: 	43.77 	52.14 	52.56 	: 	: 	: 	: 	: 
A,PC_HC,PNP,SE	47.26 b	: 	46.22 	: 	: 	: 	: 	: 	: 	: 	43.47 b	: 
A,PC_HC,PNP,SI	29.41 	7.69 	18.18 	8.33 	30.77 	38.82 	39.52 	43.84 	40.78 	45.31 	44.76 	: 
A,PC_HC,PNP,SK	45.76 	41.82 	43.84 	26.09 	28 	28 	50 	42.86 	41.94 	40.48 	42.19 	: 
A,PC_HC,PNP,UK	39.59 	44.48 e	48.66 	50.48 e	46.51 	48.02 	: 	: 	: 	: 	: 	: 
A,PC_HC,TOTAL,AT	29.59 	: 	29.49 	: 	30.06 	: 	30.39 	: 	31.25 	: 	32.05 	: 
A,PC_HC,TOTAL,BA	38.88 	44.29 	: 	: 	: 	: 	50.02 	46 	49.17 	: 	: 	: 
A,PC_HC,TOTAL,BE	33.4 	: 	34.12 	: 	34.82 	: 	32.62 	: 	33.52 b	: 	34.72 	: 
A,PC_HC,TOTAL,BG	49.7 	49.47 	47.93 	49.1 	47.37 	45.88 	46.51 	46.75 	48.27 	46.92 	48.64 	: 
A,PC_HC,TOTAL,CH	: 	: 	33.56 	: 	35.2 	: 	35.7 	: 	37.41 	: 	36.75 	: 
A,PC_HC,TOTAL,CY	38.33 	38.17 	37.94 	37.28 	38.06 	37.29 	37.61 	38 	38.71 	: 	38.67 	: 
A,PC_HC,TOTAL,CZ	28.25 	27.19 	26.94 	26.65 	26.77 	26.56 	27.18 	27.6 	27.1 	27.69 	28.06 d	27.59 dp
A,PC_HC,TOTAL,DE	27.95 	: 	28 	: 	27.88 	: 	28.05 	: 	29.36 	: 	29.64 	: 
A,PC_HC,TOTAL,DK	34.52 	: 	33.84 	: 	35.74 	: 	35.32 p	: 	: 	: 	37.97 	: 
A,PC_HC,TOTAL,EA20	31.55 e	: 	31.91 e	: 	32.12 e	: 	32.48 e	: 	33.46 e	: 	34.07 	: 
A,PC_HC,TOTAL,EA21	31.71 e	: 	32.07 e	: 	32.27 e	: 	32.63 e	: 	33.6 e	: 	34.21 	: 
A,PC_HC,TOTAL,EE	44.42 	44.02 	43.88 	43.55 	42.2 	43.94 	42.45 	42.48 	41.68 	41.29 	43.04 	: 
A,PC_HC,TOTAL,EL	39.38 	: 	38 	: 	37.82 	: 	39.04 	38.8 	38.73 	40.12 	39.6 	: 
